"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"research_type_5","haven_labelled",2264,0,0.468197879858657,0.499097837162676,0,0,0,1,1,2,"0"
"research_type_6","haven_labelled",2264,0,0.440371024734982,0.496541324501143,0,0,0,1,1,2,"0"
"research_type_7","haven_labelled",2264,0,0.356890459363958,0.479187940288977,0,0,0,1,1,2,"0"
"research_type_8","haven_labelled",2264,0,0.238074204946996,0.425998867021146,0,0,0,0,1,2,"0"
"research_type_9","haven_labelled",2264,0,0.33613074204947,0.472488595583437,0,0,0,1,1,2,"0"
"research_type_10","haven_labelled",2264,0,0.2363074204947,0.424907013318216,0,0,0,0,1,2,"0"
"research_type_9updated","numeric",2264,0,0.36660777385159,0.481984568259495,0,0,0,1,1,2,"0"
"research_type_10updated","numeric",2264,0,0.259717314487633,0.438576322813889,0,0,0,1,1,2,"0"
"research_type_11","haven_labelled",2264,0,0.284893992932862,0.451463655208816,0,0,0,1,1,2,"0"
"research_type_12","haven_labelled",2264,0,0.452296819787986,0.497829161315838,0,0,0,1,1,2,"0"
"research_type_13","haven_labelled",2264,0,0.347173144876325,0.476176547451214,0,0,0,1,1,2,"0"
"comp_importance","haven_labelled",2264,0,4.10821554770318,1.08671469343535,1,3,4,5,5,5,"5"
"comp_type_1","haven_labelled",2259,5,1.16069057104914,0.587992231164809,1,1,1,1,5,5,"1"
"comp_type_2","haven_labelled",2259,5,2.2713590084108,0.711370677531876,1,2,2,2,5,5,"2"
"comp_type_3","haven_labelled",2259,5,3.55998229305002,0.888022454235106,1,3,3,4,5,5,"3"
"comp_type_4","haven_labelled",2259,5,4.0597609561753,1.10817324905389,1,3,4,5,5,5,"5"
"comp_type_5","haven_labelled",2259,5,3.94820717131474,0.939946156572759,1,3,4,5,5,5,"4"
"select_reasonsaliva","haven_labelled",1503,761,2.45575515635396,2.06111803039469,1,1,2,2,9,7,"2"
"select_reasonsaliva_9_text","character",2264,0,NA,NA,NA,NA,NA,NA,NA,54,""
"select_reasonblood","haven_labelled",1729,535,2.47484094852516,2.00045648454621,1,1,2,3,9,7,"1"
"select_reasonblood_9_text","character",2264,0,NA,NA,NA,NA,NA,NA,NA,76,""
"more_info","haven_labelled",1770,494,2.47062146892655,0.93755642494881,1,2,3,3,4,4,"3"
"more_info_updated","haven_labelled",1676,588,2.42422434367542,0.932138126862277,1,2,3,3,4,4,"3"
