"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"major_18","haven_labelled",4,2260,1,0,1,1,1,1,1,1,"1"
"major_19","haven_labelled",23,2241,1,0,1,1,1,1,1,1,"1"
"major_20","haven_labelled",1,2263,1,NA,1,1,1,1,1,1,"1"
"major_21","haven_labelled",11,2253,1,0,1,1,1,1,1,1,"1"
"major_22","haven_labelled",22,2242,1,0,1,1,1,1,1,1,"1"
"major_23","haven_labelled",186,2078,1,0,1,1,1,1,1,1,"1"
"gpa","matrix",683,1581,-8.1138960240738e-18,1,-1.51013759367617,-0.97012504054485,-0.430112487413528,0.649912618849117,2.80996283137441,9,"-0.430112487413528"
"household_income","matrix",2094,170,1.32634894193122e-16,1,-1.71538383746581,-0.588830989526838,-0.0255545655573546,1.10099828238161,1.6642747063511,7,"1.10099828238161"
"mother_ed","matrix",2264,0,-7.31672207883032e-17,1,-1.55124502848655,-0.847574672947868,-0.143904317409191,0.559766038129487,2.67077710474552,7,"0.559766038129487"
"father_ed","matrix",2264,0,7.57932503965371e-17,1,-1.33298538269354,-0.845207961258567,-0.357430539823595,0.61812430304635,2.08145656735127,8,"-0.845207961258567"
"research_type_1","matrix",2264,0,2.81789268729356e-16,1,-6.79310496234575,0.147143067776442,0.147143067776442,0.147143067776442,0.147143067776442,2,"0.147143067776442"
"research_type_2","matrix",2264,0,4.72518676497989e-18,1,-0.628309781093349,-0.628309781093349,-0.628309781093349,1.59086860329876,1.59086860329876,2,"-0.628309781093349"
"research_type_3","matrix",2264,0,-6.20276660202657e-17,1,-1.34337441957975,-1.34337441957975,0.744065309952545,0.744065309952545,0.744065309952545,2,"0.744065309952545"
"research_type_4","matrix",2264,0,8.64656021436043e-18,1,-0.596264636275166,-0.596264636275166,-0.596264636275166,1.67636690669954,1.67636690669954,2,"-0.596264636275166"
"research_type_5","matrix",2264,0,5.73490271577441e-17,1,-0.938088376660412,-0.938088376660412,-0.938088376660412,1.06552679764069,1.06552679764069,2,"-0.938088376660412"
"research_type_6","matrix",2264,0,-4.03109145279846e-17,1,-0.886876888197386,-0.886876888197386,-0.886876888197386,1.12705417988574,1.12705417988574,2,"-0.886876888197386"
"research_type_7","matrix",2264,0,8.89443258382974e-18,1,-0.744781805545299,-0.744781805545299,-0.744781805545299,1.34208206543806,1.34208206543806,2,"-0.744781805545299"
"research_type_8","matrix",2264,0,5.26727348458608e-17,1,-0.558861122358756,-0.558861122358756,-0.558861122358756,-0.558861122358756,1.78856296116671,2,"-0.558861122358756"
"research_type_9","haven_labelled",2264,0,0.33613074204947,0.472488595583437,0,0,0,1,1,2,"0"
"research_type_10","haven_labelled",2264,0,0.2363074204947,0.424907013318216,0,0,0,0,1,2,"0"
"research_type_9updated","matrix",2264,0,5.60447281131409e-18,1,-0.760621393285381,-0.760621393285381,-0.760621393285381,1.31413382888101,1.31413382888101,2,"-0.760621393285381"
"research_type_10updated","matrix",2264,0,-9.56795487245553e-17,1,-0.592182707952167,-0.592182707952167,-0.592182707952167,1.68792214035345,1.68792214035345,2,"-0.592182707952167"
"research_type_11","matrix",2264,0,-5.15249363621977e-17,1,-0.631045245050989,-0.631045245050989,-0.631045245050989,1.58397248331403,1.58397248331403,2,"-0.631045245050989"
"research_type_12","matrix",2264,0,3.51199135169019e-17,1,-0.908538219401404,-0.908538219401404,-0.908538219401404,1.10018300005639,1.10018300005639,2,"-0.908538219401404"
"research_type_13","matrix",2264,0,-4.15383999557738e-17,1,-0.729084930231459,-0.729084930231459,-0.729084930231459,1.37097649730547,1.37097649730547,2,"-0.729084930231459"
"comp_importance","matrix",2264,0,1.23221875564827e-16,1,-2.86019464582503,-1.01978518777533,-0.0995804587504805,0.820624270274369,0.820624270274369,5,"0.820624270274369"
"comp_type_1","matrix",2259,5,-1.43140267988004e-16,1,-0.27328689484691,-0.27328689484691,-0.27328689484691,-0.27328689484691,6.52952407440013,5,"-0.27328689484691"
"comp_type_2","matrix",2259,5,-7.95361882695094e-17,1,-1.78719625163891,-0.381459367080311,-0.381459367080311,-0.381459367080311,3.83575128659549,5,"-0.381459367080311"
"comp_type_3","matrix",2259,5,-1.23154879934031e-16,1,-2.88279004752763,-0.630594744963246,-0.630594744963246,0.495502906318946,1.62160055760114,5,"-0.630594744963246"
"comp_type_4","matrix",2259,5,4.74731797714727e-17,1,-2.76108537973425,-0.956313425793371,-0.0539274488229344,0.848458528147503,0.848458528147503,5,"0.848458528147503"
"comp_type_5","matrix",2259,5,-9.35735107396232e-18,1,-3.13657027128503,-1.00878881698086,0.0551019101712235,1.11899263732331,1.11899263732331,5,"0.0551019101712235"
"select_reasonsaliva","matrix",1503,761,6.92995626923185e-17,1,-0.706293931199658,-0.706293931199658,-0.221120357802452,-0.221120357802452,3.17509465597799,7,"-0.221120357802452"
"select_reasonsaliva_9_text","character",2264,0,NA,NA,NA,NA,NA,NA,NA,54,""
"select_reasonblood","matrix",1729,535,-8.64637985726135e-17,1,-0.73725220214411,-0.73725220214411,-0.237366297239339,0.262519607665432,3.26183503709406,7,"-0.73725220214411"
"select_reasonblood_9_text","character",2264,0,NA,NA,NA,NA,NA,NA,NA,76,""
